open;high;low;close;volume;timestamp;symbol;lastrefreshed;interval;timezone
2714.39;2721.93;2714.39;2721.92;0;2018-06-01 06:00:00;^SPX;2018-06-01 06:00:00;240min;US/Eastern
2722.17;2734.64;2720.67;2733.56;0;2018-06-01 10:00:00;^SPX;2018-06-01 10:00:00;240min;US/Eastern
2733.81;2736.81;2728.55;2734.36;0;2018-06-01 14:00:00;^SPX;2018-06-01 14:00:00;240min;US/Eastern
2731.13;2736.89;2729.14;2736.64;0;2018-06-03 18:00:00;^SPX;2018-06-03 18:00:00;240min;US/Eastern
2736.89;2739.90;2735.89;2737.42;0;2018-06-03 22:00:00;^SPX;2018-06-03 22:00:00;240min;US/Eastern
2737.29;2743.69;2736.67;2743.69;0;2018-06-04 02:00:00;^SPX;2018-06-04 02:00:00;240min;US/Eastern
2743.44;2746.94;2740.96;2742.47;0;2018-06-04 06:00:00;^SPX;2018-06-04 06:00:00;240min;US/Eastern
2742.72;2749.56;2739.95;2746.29;0;2018-06-04 10:00:00;^SPX;2018-06-04 10:00:00;240min;US/Eastern
2746.04;2748.08;2743.51;2746.60;0;2018-06-04 14:00:00;^SPX;2018-06-04 14:00:00;240min;US/Eastern
2745.94;2747.20;2742.96;2743.72;0;2018-06-04 18:00:00;^SPX;2018-06-04 18:00:00;240min;US/Eastern
2743.47;2744.72;2741.97;2744.00;0;2018-06-04 22:00:00;^SPX;2018-06-04 22:00:00;240min;US/Eastern
2743.87;2748.88;2739.95;2748.25;0;2018-06-05 02:00:00;^SPX;2018-06-05 02:00:00;240min;US/Eastern
2748.38;2751.78;2744.30;2744.81;0;2018-06-05 06:00:00;^SPX;2018-06-05 06:00:00;240min;US/Eastern
2744.56;2752.45;2739.32;2744.63;0;2018-06-05 10:00:00;^SPX;2018-06-05 10:00:00;240min;US/Eastern
2744.38;2753.21;2744.13;2752.21;0;2018-06-05 14:00:00;^SPX;2018-06-05 14:00:00;240min;US/Eastern
2751.14;2752.92;2750.15;2752.42;0;2018-06-05 18:00:00;^SPX;2018-06-05 18:00:00;240min;US/Eastern
2752.17;2757.19;2752.17;2756.70;0;2018-06-05 22:00:00;^SPX;2018-06-05 22:00:00;240min;US/Eastern
2756.95;2757.96;2753.72;2754.48;0;2018-06-06 02:00:00;^SPX;2018-06-06 02:00:00;240min;US/Eastern
2754.73;2757.74;2754.48;2755.25;0;2018-06-06 06:00:00;^SPX;2018-06-06 06:00:00;240min;US/Eastern
2755.00;2761.72;2748.29;2760.38;0;2018-06-06 10:00:00;^SPX;2018-06-06 10:00:00;240min;US/Eastern
2760.63;2774.70;2758.35;2773.70;0;2018-06-06 14:00:00;^SPX;2018-06-06 14:00:00;240min;US/Eastern
2772.72;2773.72;2769.72;2771.50;0;2018-06-06 18:00:00;^SPX;2018-06-06 18:00:00;240min;US/Eastern
2771.75;2774.28;2771.25;2773.78;0;2018-06-06 22:00:00;^SPX;2018-06-06 22:00:00;240min;US/Eastern
2773.90;2779.30;2773.31;2773.57;0;2018-06-07 02:00:00;^SPX;2018-06-07 02:00:00;240min;US/Eastern
2773.32;2776.31;2772.08;2774.58;0;2018-06-07 06:00:00;^SPX;2018-06-07 06:00:00;240min;US/Eastern
2774.33;2779.44;2766.00;2769.59;0;2018-06-07 10:00:00;^SPX;2018-06-07 10:00:00;240min;US/Eastern
2769.34;2774.72;2760.22;2772.97;0;2018-06-07 14:00:00;^SPX;2018-06-07 14:00:00;240min;US/Eastern
2771.24;2773.81;2769.67;2773.56;0;2018-06-07 18:00:00;^SPX;2018-06-07 18:00:00;240min;US/Eastern
2773.81;2774.81;2768.33;2769.34;0;2018-06-07 22:00:00;^SPX;2018-06-07 22:00:00;240min;US/Eastern
2769.09;2769.59;2752.12;2756.13;0;2018-06-08 02:00:00;^SPX;2018-06-08 02:00:00;240min;US/Eastern
2755.88;2766.88;2755.12;2764.39;0;2018-06-08 06:00:00;^SPX;2018-06-08 06:00:00;240min;US/Eastern
2764.51;2776.35;2763.39;2775.18;0;2018-06-08 10:00:00;^SPX;2018-06-08 10:00:00;240min;US/Eastern
2775.43;2779.59;2771.20;2778.60;0;2018-06-08 14:00:00;^SPX;2018-06-08 14:00:00;240min;US/Eastern
2771.83;2777.23;2770.96;2776.73;0;2018-06-10 18:00:00;^SPX;2018-06-10 18:00:00;240min;US/Eastern
2776.98;2778.25;2774.24;2777.01;0;2018-06-10 22:00:00;^SPX;2018-06-10 22:00:00;240min;US/Eastern
2776.76;2783.28;2774.27;2780.54;0;2018-06-11 02:00:00;^SPX;2018-06-11 02:00:00;240min;US/Eastern
2780.67;2782.30;2776.30;2779.06;0;2018-06-11 06:00:00;^SPX;2018-06-11 06:00:00;240min;US/Eastern
2779.31;2789.81;2778.56;2789.08;0;2018-06-11 10:00:00;^SPX;2018-06-11 10:00:00;240min;US/Eastern
2789.32;2790.21;2780.32;2782.31;0;2018-06-11 14:00:00;^SPX;2018-06-11 14:00:00;240min;US/Eastern
2781.20;2786.67;2780.41;2781.65;0;2018-06-11 18:00:00;^SPX;2018-06-11 18:00:00;240min;US/Eastern
2781.40;2786.14;2779.41;2785.18;0;2018-06-11 22:00:00;^SPX;2018-06-11 22:00:00;240min;US/Eastern
